	sources	targets	score	flow
0	S	NGLY1	0.7	0.6447368421052634
1	ACAD10	E	0.004605263157894736	0.004605263157894736
2	ACO2	E	0.004605263157894736	0.004605263157894736
3	ADCYAP1R1	E	0.004605263157894736	0.004605263157894736
4	ADRA2C	E	0.004605263157894736	0.004605263157894736
5	ANGPTL6	E	0.004605263157894736	0.004605263157894736
6	ANKRD54	E	0.004605263157894736	0.004605263157894736
7	APEH	E	0.004605263157894736	0.004605263157894736
8	APOA2	E	0.004605263157894736	0.004605263157894736
9	APOM	E	0.004605263157894736	0.004605263157894736
10	ARPC1A	E	0.004605263157894736	0.004605263157894736
11	AVP	E	0.004605263157894736	0.004605263157894736
12	AVPR1A	E	0.004605263157894736	0.004605263157894736
13	AVPR1B	E	0.004605263157894736	0.004605263157894736
14	BBX	E	0.004605263157894736	0.004605263157894736
15	BDNF	E	0.004605263157894736	0.004605263157894736
16	C10orf88	E	0.004605263157894736	0.004605263157894736
17	C1orf105	E	0.004605263157894736	0.004605263157894736
18	CALU	E	0.004605263157894736	0.004605263157894736
19	CCL19	E	0.004605263157894736	0.004605263157894736
20	CCL2	E	0.004605263157894736	0.004605263157894736
21	CCL21	E	0.004605263157894736	0.004605263157894736
22	CCL3	E	0.004605263157894736	0.004605263157894736
24	CCL5	E	0.004605263157894736	0.004605263157894736
25	CCR10	E	0.004605263157894736	0.004605263157894736
26	CCR4	E	0.004605263157894736	0.004605263157894736
27	CCR5	E	0.004605263157894736	0.004605263157894736
28	CCR6	E	0.004605263157894736	0.004605263157894736
29	CCR7	E	0.004605263157894736	0.004605263157894736
30	CD14	E	0.004605263157894736	0.004605263157894736
31	CD163	E	0.004605263157894736	0.004605263157894736
33	CD38	E	0.004605263157894736	0.004605263157894736
34	CD69	E	0.004605263157894736	0.004605263157894736
35	CD93	E	0.004605263157894736	0.004605263157894736
37	CHIT1	E	0.004605263157894736	0.004605263157894736
38	CLEC5A	E	0.004605263157894736	0.004605263157894736
39	COMT	E	0.004605263157894736	0.004605263157894736
41	CRH	E	0.004605263157894736	0.004605263157894736
42	CRHR1	E	0.004605263157894736	0.004605263157894736
44	CX3CR1	E	0.004605263157894736	0.004605263157894736
46	CXCL13	E	0.004605263157894736	0.004605263157894736
48	CXCR4	E	0.004605263157894736	0.004605263157894736
49	CXorf56	E	0.004605263157894736	0.004605263157894736
50	CYP4F2	E	0.004605263157894736	0.004605263157894736
51	DBH	E	0.004605263157894736	0.004605263157894736
52	DDX50	E	0.004605263157894736	0.004605263157894736
53	DDX56	E	0.004605263157894736	0.004605263157894736
54	DGCR6L	E	0.004605263157894736	0.004605263157894736
55	DRD1	E	0.004605263157894736	0.004605263157894736
56	DRD2	E	0.004605263157894736	0.004605263157894736
57	DRD3	E	0.004605263157894736	0.004605263157894736
58	DRD4	E	0.004605263157894736	0.004605263157894736
59	DRD5	E	0.004605263157894736	0.004605263157894736
60	ERCC2	E	0.004605263157894736	0.004605263157894736
61	ESD	E	0.004605263157894736	0.004605263157894736
62	FCGR2A	E	0.004605263157894736	0.004605263157894736
63	FCGR3A	E	0.004605263157894736	0.004605263157894736
64	FKBP5	E	0.004605263157894736	0.004605263157894736
65	FOLH1	E	0.004605263157894736	0.004605263157894736
66	FRA10AC1	E	0.004605263157894736	0.004605263157894736
67	GGACT	E	0.004605263157894736	0.004605263157894736
68	GHRH	E	0.004605263157894736	0.004605263157894736
69	GPR15	E	0.004605263157894736	0.004605263157894736
70	GSTP1	E	0.004605263157894736	0.004605263157894736
71	HACL1	E	0.004605263157894736	0.004605263157894736
72	HSD17B6	E	0.004605263157894736	0.004605263157894736
73	HSPB7	E	0.004605263157894736	0.004605263157894736
74	HTR1A	E	0.004605263157894736	0.004605263157894736
75	HTR1B	E	0.004605263157894736	0.004605263157894736
76	IFITM2	E	0.004605263157894736	0.004605263157894736
77	IFITM3	E	0.004605263157894736	0.004605263157894736
78	IL10	E	0.004605263157894736	0.004605263157894736
80	IL17A	E	0.004605263157894736	0.004605263157894736
81	IL17F	E	0.004605263157894736	0.004605263157894736
82	IL1RN	E	0.004605263157894736	0.004605263157894736
83	IL2	E	0.004605263157894736	0.004605263157894736
84	IL21	E	0.004605263157894736	0.004605263157894736
85	IL4	E	0.004605263157894736	0.004605263157894736
86	IL6	E	0.004605263157894736	0.004605263157894736
87	IL7	E	0.004605263157894736	0.004605263157894736
88	IMPA1	E	0.004605263157894736	0.004605263157894736
89	INA	E	0.004605263157894736	0.004605263157894736
90	ISG20L2	E	0.004605263157894736	0.004605263157894736
91	KCNN3	E	0.004605263157894736	0.004605263157894736
92	LGALS14	E	0.004605263157894736	0.004605263157894736
93	LIPE	E	0.004605263157894736	0.004605263157894736
94	LMX1A	E	0.004605263157894736	0.004605263157894736
96	LUZP2	E	0.004605263157894736	0.004605263157894736
97	MAOA	E	0.004605263157894736	0.004605263157894736
98	MAOB	E	0.004605263157894736	0.004605263157894736
99	MMD	E	0.004605263157894736	0.004605263157894736
100	MOSPD1	E	0.004605263157894736	0.004605263157894736
101	MTHFD1	E	0.004605263157894736	0.004605263157894736
102	MTRR	E	0.004605263157894736	0.004605263157894736
103	MUC5AC	E	0.004605263157894736	0.004605263157894736
104	NADSYN1	E	0.004605263157894736	0.004605263157894736
105	NBEAP1	E	0.004605263157894736	0.004605263157894736
106	OPRD1	E	0.004605263157894736	0.004605263157894736
107	OXT	E	0.004605263157894736	0.004605263157894736
108	PCYOX1	E	0.004605263157894736	0.004605263157894736
110	POMGNT2	E	0.004605263157894736	0.004605263157894736
111	PON2	E	0.004605263157894736	0.004605263157894736
112	PPP4R2	E	0.004605263157894736	0.004605263157894736
113	PRL	E	0.004605263157894736	0.004605263157894736
114	PSCA	E	0.004605263157894736	0.004605263157894736
115	PTDSS2	E	0.004605263157894736	0.004605263157894736
116	PTGFRN	E	0.004605263157894736	0.004605263157894736
117	RAN	E	0.004605263157894736	0.004605263157894736
118	RBM45	E	0.004605263157894736	0.004605263157894736
119	RBP4	E	0.004605263157894736	0.004605263157894736
120	RETN	E	0.004605263157894736	0.004605263157894736
121	RFC1	E	0.004605263157894736	0.004605263157894736
122	RIT2	E	0.004605263157894736	0.004605263157894736
123	RN7SK	E	0.004605263157894736	0.004605263157894736
124	S100B	E	0.004605263157894736	0.004605263157894736
125	SFTPD	E	0.004605263157894736	0.004605263157894736
126	SHMT1	E	0.004605263157894736	0.004605263157894736
127	SLC19A1	E	0.004605263157894736	0.004605263157894736
128	SLC25A12	E	0.004605263157894736	0.004605263157894736
129	SLC45A3	E	0.004605263157894736	0.004605263157894736
130	SLC6A2	E	0.004605263157894736	0.004605263157894736
131	SLC6A3	E	0.004605263157894736	0.004605263157894736
132	SLC6A4	E	0.004605263157894736	0.004605263157894736
133	SOBP	E	0.004605263157894736	0.004605263157894736
134	SPTY2D1	E	0.004605263157894736	0.004605263157894736
135	SYT5	E	0.004605263157894736	0.004605263157894736
136	TCN1	E	0.004605263157894736	0.004605263157894736
137	TCN2	E	0.004605263157894736	0.004605263157894736
138	TEX2	E	0.004605263157894736	0.004605263157894736
139	TMEM212	E	0.004605263157894736	0.004605263157894736
140	TMOD2	E	0.004605263157894736	0.004605263157894736
141	TNC	E	0.004605263157894736	0.004605263157894736
142	TNF	E	0.004605263157894736	0.004605263157894736
143	TNFSF13	E	0.004605263157894736	0.004605263157894736
145	TPH2	E	0.004605263157894736	0.004605263157894736
146	TYMS	E	0.004605263157894736	0.004605263157894736
147	UNC13A	E	0.004605263157894736	0.004605263157894736
148	UTP15	E	0.004605263157894736	0.004605263157894736
150	ZDHHC8	E	0.004605263157894736	0.004605263157894736
151	ZKSCAN5	E	0.004605263157894736	0.004605263157894736
152	ZPR1	E	0.004605263157894736	0.004605263157894736
211	PRRC2A	CCR10	0.23548346721924934	0.004605263157894736
1456	HSPB8	HSPB7	0.6042027500740766	0.004605263157894736
1547	BAG6	KLHL12	0.7806389820211675	0.004605263157894736
4811	NME2	HTR1B	0.2852558958229219	0.004605263157894736
7026	UPF1	XRN1	0.8972926063238705	0.004605263157894736
8155	SNCA	SLC6A3	0.6210407553997949	0.004605263157894736
8268	IL6R	IL6	0.7684394612627271	0.004605263157894736
10765	KLF6	APOM	0.30179573291722583	0.004605263157894736
12651	SFTPA1	SFTPD	0.7639495416793456	0.004605263157894736
12660	CXCR4	CCR5	0.8377590297704278	0.004605263157894736
13197	PEX14	PEX5	0.9	0.004605263157894736
13581	ADRB2	OPRD1	0.7005043918228849	0.004605263157894736
13808	IL10RA	IL10	0.7105806974157814	0.004605263157894736
15201	HSP90AA1	NR3C1	0.5016216893357908	0.004605263157894736
15619	USP10	G3BP1	0.6325530787934733	0.004605263157894736
